Age BP,Varve
9109,0.184559591
9119,0.263
9129,0.33292764
9139,0.197615781
9149,0.131538785
9159,0.089515482
9169,0.227693886
9179,0.352938336
9189,0.170642642
9199,0.36545218
9209,0.21225678
9219,0.201198964
9229,0.123701015
9239,0.616912064
9249,0.146598244
9259,0.35
9269,
9279,
9289,
9299,0.201671695
9309,0.289017487
9319,0.276872596
9329,0.3342472
9339,0.286550543
9349,0.58199642
9359,0.309573834
9369,0.342006065
9379,0.134987169
9389,0.179569549
9399,0.212919132
9409,0.341965971
9419,0.230124361
9429,0.700931893
9439,0.182150179
9449,0.268309992
9459,0.279044699
9469,0.263750432
9479,0.545993012
9489,0.319
9499,
9509,0.169416272
9519,0.119307481
9529,0.158
9539,0.153929587
9549,0.352364796
9559,0.224737773
9569,0.210965253
9579,0.186
9589,0.217206088
9599,0.227163655
9609,0.15589399
9619,0.119591942
9629,0.156768966
9639,0.14698549
9649,0.160417112
9659,0.129384769
9669,0.359450604
9679,0.089723206
9689,0.186554388
9699,0.192909037
9709,0.252
9719,0.229352699
9729,0.083
9739,0.155717202
9749,0.279292155
9759,0.101534674
9769,0.140836385
9779,0.215599888
9789,0.116512195
9799,0.236015071
9809,0.123574952
9819,0.09957413
9829,0.130795833
9839,0.180092357
9849,0.093574402
9859,0.217277322
9869,0.1863516
9879,0.27505808
9889,0.118884371
9899,0.165682938
9909,0.141134
9919,0.094967373
9929,0.17170922
9939,0.147070693
9949,0.086949865
9959,0.153733361
9969,0.149
9979,0.163987403
9989,0.125170145
9999,0.155554108
10009,0.147087256
10019,0.222617848
10029,0.151115951
10039,0.180853513
10049,0.141609238
10059,0.14200858
10069,0.121842455
10079,0.22140604
10089,0.103701323
10099,0.278
10109,0.255527505
10119,0.213734163
10129,0.09418796
10139,0.157543253
10149,0.075596584
10159,0.65774166
10169,0.180109577
10179,0.224918238
10189,0.128481166
10199,0.252685688
10209,0.212409005
10219,0.146897324
10229,0.213122668
10239,0.116172348
10249,0.307392685
10259,0.166391355
10269,0.303543587
10279,0.575040886
10289,1.034326413
